No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
65,Wedding/Event Planning,Storytelling + Social Proof,Soft UI Evolution + Aurora UI,Soft Pink (#FFD6E0) + Gold + Cream,Elegant + Romantic typography,Gallery reveals + Timeline animations,"{""must_have"": ""portfolio-gallery"", ""must_have"": ""planning-tools""}",Generic templates + No portfolio,HIGH,light+romantic-dark,planning+vendor-match-ai,GDPR+CCPA,3/5 event moderate,LCP<2s; CLS<0.1; INP<150ms
66,Insurance Platform,Conversion + Trust,Trust & Authority + Flat Design,Trust Blue (#0066CC) + Green + Neutral,Clear + Professional typography,Quote calculator animations + Policy comparison,"{""must_have"": ""quote-calculator"", ""must_have"": ""policy-comparison""}",Confusing pricing + No trust signals + AI purple/pink gradients,HIGH,light+trust-dark,claim-process+risk-assess-ai,PCI-DSS+SOC2+GDPR,4/5 forms+calc,LCP<2s; CLS<0.05; INP<100ms
67,Banking/Traditional Finance,Trust & Authority + Feature,Minimalism + Accessible & Ethical,Navy (#0A1628) + Trust Blue + Gold,Professional + Trustworthy typography,Smooth number animations + Security indicators,"{""must_have"": ""security-first"", ""must_have"": ""accessibility""}",Playful design + Poor security UX + AI purple/pink gradients,HIGH,light+trust-dark,fraud-detect+advisor-ai,PCI-DSS+SOC2+GDPR+PSD2,5/5 financial prime,LCP<1.5s; CLS<0.05; INP<50ms
68,Online Course/E-learning,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,Vibrant learning colors + Progress green,Friendly + Engaging typography,Progress bar animations + Certificate reveals,"{""must_have"": ""progress-tracking"", ""must_have"": ""video-player""}",Boring design + No gamification,HIGH,light+study-dark,adaptive-learn+quiz-gen-ai,COPPA+FERPA+GDPR,4/5 progress track,LCP<2s; CLS<0.1; INP<100ms
69,Non-profit/Charity,Storytelling + Trust,Accessible & Ethical + Organic Biophilic,Cause-related colors + Trust + Warm,Heartfelt + Readable typography,Impact counter animations + Story reveals,"{""must_have"": ""impact-stories"", ""must_have"": ""donation-transparency""}",No impact data + Hidden financials,HIGH,light+warm-dark,impact-predict+donor-match-ai,GDPR+CCPA+nonprofit,4/5 impact data,LCP<2s; CLS<0.05; INP<100ms
70,Florist/Plant Shop,Hero-Centric + Conversion,Organic Biophilic + Vibrant & Block-based,Natural Green + Floral pinks/purples,Elegant + Natural typography,Product reveal + Seasonal transitions,"{""must_have"": ""delivery-scheduling"", ""must_have"": ""care-guides""}",Poor imagery + No seasonal content,MEDIUM,light+dark-option,seasonal-rec+care-guide-ai,GDPR+CCPA,3/5 niche retail,LCP<2s; CLS<0.1; INP<150ms
71,Bakery/Cafe,Hero-Centric + Conversion,Vibrant & Block-based + Soft UI Evolution,Warm Brown + Cream + Appetizing accents,Warm + Inviting typography,Menu hover + Order animations,"{""must_have"": ""menu-display"", ""must_have"": ""online-ordering""}",Poor food photos + Hidden hours,HIGH,light-warm+dark-option,menu-rec+ordering-ai,GDPR+CCPA+PCI-DSS,4/5 menu struct,LCP<2s; CLS<0.05; INP<100ms
72,Coffee Shop,Hero-Centric + Minimal,Minimalism + Organic Biophilic,Coffee Brown (#6F4E37) + Cream + Warm,Cozy + Clean typography,Menu transitions + Loyalty animations,"{""must_have"": ""menu"", ""if_loyalty"": ""add-rewards-system""}",Generic design + No atmosphere,MEDIUM,light-warm+dark-option,menu-personalize+loyalty-ai,GDPR+CCPA,3/5 niche F&B,LCP<2s; CLS<0.05; INP<100ms
73,Brewery/Winery,Storytelling + Hero-Centric,Motion-Driven + Storytelling-Driven,Deep amber/burgundy + Gold + Craft,Artisanal + Heritage typography,Tasting note reveals + Heritage timeline,"{""must_have"": ""product-showcase"", ""must_have"": ""story-heritage""}",Generic product pages + No story,HIGH,light+dark-cellar,tasting-note+pairing-ai,GDPR+alcohol-regs,3/5 niche F&B,LCP<2.5s; CLS<0.1; INP<150ms
74,Airline,Conversion + Feature-Rich,Minimalism + Glassmorphism,Sky Blue + Brand colors + Trust,Clear + Professional typography,Flight search animations + Boarding pass reveals,"{""must_have"": ""flight-search"", ""must_have"": ""mobile-first""}",Complex booking + Poor mobile,HIGH,light-first+toggle,flight-search+price-pred-ai,GDPR+CCPA+PCI-DSS,4/5 search+booking,LCP<2s; CLS<0.05; INP<100ms
75,Magazine/Blog,Storytelling + Hero-Centric,Swiss Modernism 2.0 + Motion-Driven,Editorial colors + Brand + Clean white,Editorial + Elegant typography,Article transitions + Category reveals,"{""must_have"": ""article-showcase"", ""must_have"": ""newsletter-signup""}",Poor typography + Slow loading,HIGH,light+reading-dark,summarize+newsletter-gen-ai,GDPR+CCPA+DSA,5/5 editorial=AI gen,LCP<1.5s; CLS<0.05; INP<100ms
76,Freelancer Platform,Feature-Rich + Conversion,Flat Design + Minimalism,Professional Blue + Success Green,Clear + Professional typography,Skill match animations + Review reveals,"{""must_have"": ""portfolio-display"", ""must_have"": ""skill-matching""}",Poor profiles + No reviews,HIGH,light-first+toggle,skill-match+portfolio-ai,GDPR+CCPA,4/5 structured profile,LCP<2s; CLS<0.05; INP<100ms
77,Consulting Firm,Trust & Authority + Minimal,Trust & Authority + Minimalism,Navy + Gold + Professional grey,Authoritative + Clear typography,Case study reveals + Team profiles,"{""must_have"": ""case-studies"", ""must_have"": ""thought-leadership""}",Generic content + No credentials + AI purple/pink gradients,HIGH,light+trust-dark,proposal-gen+market-analysis-ai,SOC2+GDPR+CCPA,4/5 enterprise,LCP<2s; CLS<0.05; INP<100ms
78,Marketing Agency,Storytelling + Feature-Rich,Brutalism + Motion-Driven,Bold brand colors + Creative freedom,Bold + Expressive typography,Portfolio reveals + Results animations,"{""must_have"": ""portfolio"", ""must_have"": ""results-metrics""}",Boring design + Hidden work,HIGH,light+creative-dark,campaign-gen+copywrite-ai,GDPR+CCPA,4/5 creative AI gen,LCP<2s; CLS<0.1; INP<100ms
79,Event Management,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,Event theme colors + Excitement accents,Bold + Engaging typography,Countdown timer + Registration flow,"{""must_have"": ""registration"", ""must_have"": ""agenda-display""}",Confusing registration + No countdown,HIGH,light+vibrant-dark,scheduling+attendee-match-ai,GDPR+CCPA,4/5 event struct,LCP<2s; CLS<0.1; INP<100ms
80,Conference/Webinar Platform,Feature-Rich + Conversion,Glassmorphism + Minimalism,Professional Blue + Video accent,Professional + Clear typography,Live stream integration + Agenda transitions,"{""must_have"": ""registration"", ""must_have"": ""speaker-profiles""}",Poor video UX + No networking,HIGH,light-first+toggle,networking+scheduling-ai,GDPR+CCPA,4/5 video+chat moderate,LCP<2s; CLS<0.1; INP<100ms
81,Membership/Community,Social Proof + Conversion,Vibrant & Block-based + Soft UI Evolution,Community brand colors + Engagement,Friendly + Engaging typography,Member counter + Benefit reveals,"{""must_have"": ""member-benefits"", ""must_have"": ""pricing-tiers""}",Hidden benefits + No community proof,HIGH,light-first+toggle,engage-predict+content-rec-ai,GDPR+CCPA,4/5 member feeds,LCP<2s; CLS<0.1; INP<100ms
82,Newsletter Platform,Minimal + Conversion,Minimalism + Flat Design,Brand primary + Clean white + CTA,Clean + Readable typography,Subscribe form + Archive reveals,"{""must_have"": ""subscribe-form"", ""must_have"": ""sample-content""}",Complex signup + No preview,MEDIUM,light+reading-dark,content-gen+audience-ai,GDPR+CCPA,5/5 text=ideal AI gen,LCP<1.5s; CLS<0.05; INP<100ms
83,Digital Products/Downloads,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,Product colors + Brand + Success green,Modern + Clear typography,Product preview + Instant delivery animations,"{""must_have"": ""product-preview"", ""must_have"": ""instant-delivery""}",No preview + Slow delivery,HIGH,light-first+toggle,product-rec+delivery-track-ai,GDPR+CCPA+PCI-DSS,4/5 product struct,LCP<2s; CLS<0.1; INP<100ms
84,Church/Religious Organization,Hero-Centric + Social Proof,Accessible & Ethical + Soft UI Evolution,Warm Gold + Deep Purple/Blue + White,Welcoming + Clear typography,Service time highlights + Event calendar,"{""must_have"": ""service-times"", ""must_have"": ""community-events""}",Outdated design + Hidden info,MEDIUM,light+warm-dark,event-schedule+community-ai,GDPR+CCPA,3/5 community moderate,LCP<2s; CLS<0.05; INP<100ms
85,Sports Team/Club,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,Team colors + Energetic accents,Bold + Impactful typography,Score animations + Schedule reveals,"{""must_have"": ""schedule"", ""must_have"": ""roster""}",Static content + Poor fan engagement,HIGH,light+team-dark,stats-predict+fantasy-ai,GDPR+CCPA,3/5 game niche,LCP<2s; CLS<0.1; INP<100ms
86,Museum/Gallery,Storytelling + Feature-Rich,Minimalism + Motion-Driven,Art-appropriate neutrals + Exhibition accents,Elegant + Minimal typography,Virtual tour + Collection reveals,"{""must_have"": ""virtual-tour"", ""must_have"": ""exhibition-info""}",Cluttered layout + No online access,HIGH,dark-preferred+gallery,collection-curate+tour-gen-ai,GDPR+CCPA,4/5 gallery AI gen,LCP<2.5s; CLS<0.1; INP<150ms
87,Theater/Cinema,Hero-Centric + Conversion,Dark Mode (OLED) + Motion-Driven,Dark + Spotlight accents + Gold,Dramatic + Bold typography,Seat selection + Trailer reveals,"{""must_have"": ""showtimes"", ""must_have"": ""seat-selection""}",Poor booking UX + No trailers,HIGH,OLED-dark-default,rec-ai+seat-optimize,GDPR+CCPA+PCI-DSS,3/5 booking moderate,LCP<2s; CLS<0.1; INP<100ms
88,Language Learning App,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,Playful colors + Progress indicators,Friendly + Clear typography,Progress animations + Achievement unlocks,"{""must_have"": ""progress-tracking"", ""must_have"": ""gamification""}",Boring design + No motivation,HIGH,light+study-dark,speech-rec+adaptive-diff-ai,COPPA+FERPA+GDPR,4/5 gamified learn,LCP<2s; CLS<0.1; INP<100ms
89,Coding Bootcamp,Feature-Rich + Social Proof,Dark Mode (OLED) + Minimalism,Code editor colors + Brand + Success,Technical + Clear typography,Terminal animations + Career outcome reveals,"{""must_have"": ""curriculum"", ""must_have"": ""career-outcomes""}",Light mode only + Hidden results,HIGH,OLED-dark-default,code-gen+curriculum-rec-ai,GDPR+CCPA,5/5 code=prime AI,LCP<1.5s; CLS<0.05; INP<50ms
90,Cybersecurity Platform,Trust & Authority + Real-Time,Cyberpunk UI + Dark Mode (OLED),Matrix Green (#00FF00) + Deep Black,Technical + Clear typography,Threat visualization + Alert animations,"{""must_have"": ""real-time-monitoring"", ""must_have"": ""threat-display""}",Light mode + Poor data viz,HIGH,OLED-dark-default,threat-detect+vuln-scan-ai,SOC2+ISO27001+GDPR,5/5 security native,LCP<1.5s; CLS<0.05; INP<50ms
91,Developer Tool/IDE,Minimal + Documentation,Dark Mode (OLED) + Minimalism,Dark syntax theme + Blue focus,Monospace + Functional typography,Syntax highlighting + Command palette,"{""must_have"": ""keyboard-shortcuts"", ""must_have"": ""documentation""}",Light mode default + Slow performance,HIGH,OLED-dark-default,code-complete+copilot+debug-ai,SOC2+GDPR,5/5 IDE=foundational,LCP<1s; CLS<0.01; INP<16ms
92,Biotech/Life Sciences,Storytelling + Data,Glassmorphism + Clean Science,Sterile White + DNA Blue + Life Green,Scientific + Clear typography,Data visualization + Research reveals,"{""must_have"": ""data-accuracy"", ""must_have"": ""clean-aesthetic""}",Cluttered data + Poor credibility,HIGH,light+science-dark,drug-discover+protein-ai,HIPAA+SOC2+GxP,4/5 scientific data,LCP<2.5s; CLS<0.1; INP<150ms
93,Space Tech/Aerospace,Immersive + Feature-Rich,Holographic/HUD + Dark Mode,Deep Space Black + Star White + Metallic,Futuristic + Precise typography,Telemetry animations + 3D renders,"{""must_have"": ""high-tech-feel"", ""must_have"": ""precision-data""}",Generic design + No immersion,HIGH,OLED-dark-default,telemetry+simulation-ai,ITAR+SOC2+GDPR,3/5 aerospace niche,LCP<2.5s; CLS<0.1; INP<100ms
94,Architecture/Interior,Portfolio + Hero-Centric,Exaggerated Minimalism + High Imagery,Monochrome + Gold Accent + High Imagery,Architectural + Elegant typography,Project gallery + Blueprint reveals,"{""must_have"": ""high-res-images"", ""must_have"": ""project-portfolio""}",Poor imagery + Cluttered layout,HIGH,light+gallery-dark,rendering+space-plan-ai,GDPR+CCPA,3/5 3D specialized,LCP<2.5s; CLS<0.1; INP<200ms
95,Quantum Computing,Immersive + Interactive,Holographic/HUD + Dark Mode,Quantum Blue (#00FFFF) + Deep Black,Futuristic + Scientific typography,Probability visualizations + Qubit state animations,"{""must_have"": ""complexity-visualization"", ""must_have"": ""scientific-credibility""}",Generic tech design + No viz,HIGH,OLED-dark-default,quantum-sim+algo-suggest-ai,SOC2+GDPR,2/5 quantum niche,LCP<2.5s; CLS<0.1; INP<150ms
96,Biohacking/Longevity App,Data-Dense + Storytelling,Biomimetic/Organic 2.0 + Minimalism,Cellular Pink/Red + DNA Blue + White,Scientific + Clear typography,Biological data viz + Progress animations,"{""must_have"": ""data-privacy"", ""must_have"": ""scientific-credibility""}",Generic health app + No privacy,HIGH,light+bio-dark,biomarker-predict+protocol-ai,HIPAA+SOC2+GDPR,4/5 health tracking,LCP<2s; CLS<0.05; INP<100ms
97,Autonomous Drone Fleet,Real-Time + Feature-Rich,HUD/Sci-Fi FUI + Real-Time,Tactical Green + Alert Red + Map Dark,Technical + Functional typography,Telemetry animations + 3D spatial awareness,"{""must_have"": ""real-time-telemetry"", ""must_have"": ""safety-alerts""}",Slow updates + Poor spatial viz,HIGH,OLED-dark-default,fleet-opt+collision-avoid-ai,FAA-Part107+SOC2,4/5 telemetry AI,LCP<1.5s; CLS<0.05; INP<50ms
98,Generative Art Platform,Showcase + Feature-Rich,Minimalism + Gen Z Chaos,Neutral (#F5F5F5) + User Content,Minimal + Content-focused typography,Gallery masonry + Minting animations,"{""must_have"": ""fast-loading"", ""must_have"": ""creator-attribution""}",Heavy chrome + Slow loading,HIGH,light+gallery-dark,prompt-eng+style-transfer-ai,GDPR+CCPA+copyright,4/5 gen-art native,LCP<2.5s; CLS<0.1; INP<150ms
99,Spatial Computing OS,Immersive + Interactive,Spatial UI (VisionOS) + Glassmorphism,Frosted Glass + System Colors + Depth,Spatial + Readable typography,Depth hierarchy + Gaze interactions,"{""must_have"": ""depth-hierarchy"", ""must_have"": ""environment-awareness""}",2D design + No spatial depth,HIGH,dark-preferred+spatial,spatial-reason+gesture-ai,GDPR+Apple-privacy,3/5 spatial frontier,LCP<2s; CLS<0.05; INP<100ms
100,Sustainable Energy/Climate,Data + Trust,Organic Biophilic + E-Ink/Paper,Earth Green + Sky Blue + Solar Yellow,Clear + Informative typography,Impact viz + Progress animations,"{""must_have"": ""data-transparency"", ""must_have"": ""impact-visualization""}",Greenwashing + No real data,HIGH,light+earth-dark,carbon-track+energy-opt-ai,ESG+TCFD+GDPR,5/5 impact monitoring,LCP<2s; CLS<0.05; INP<100ms
101,AI Agent Platform,Interactive Demo + Minimal,AI-Native UI + Minimalism,Neutral + AI Purple (#7C3AED),Modern + Clear typography,Streaming text + Tool-use indicators + Thinking animations,"{""must_have"": ""conversational-ui"", ""must_have"": ""tool-use-transparency"", ""must_have"": ""context-awareness""}",Heavy chrome + Slow response + No streaming,HIGH,dark-preferred+toggle,agent-native+tool-use+reasoning-trace,SOC2+GDPR+CCPA,5/5 meta-AI product,LCP<1s; CLS<0.01; INP<50ms
102,Voice-First Interface,Audio-Centric + Minimal,AI-Native UI + Accessible & Ethical,Calm Blue + Status indicator colors,Large + Minimal typography (20px+),Waveform visualization + Listening pulse + Voice activity,"{""must_have"": ""voice-activity-indicator"", ""must_have"": ""fallback-text-input"", ""must_have"": ""noise-cancellation""}",Text-only design + No voice feedback + Tiny buttons,HIGH,dark-preferred+toggle,speech-recognition+nlp+voice-synthesis,GDPR+CCPA+BIPA,5/5 voice=native AI,LCP<1s; CLS<0.01; INP<50ms
103,Privacy-First Product,Trust & Authority + Minimal,Accessible & Ethical + Minimalism,Trust Green (#059669) + Clean White,Clear + Trustworthy typography,Encryption indicators + Consent flow animations + Data flow viz,"{""must_have"": ""consent-management"", ""must_have"": ""data-transparency"", ""must_have"": ""zero-knowledge-proof""}",Hidden privacy policies + Dark patterns + Data harvesting UX,HIGH,light-first+toggle,on-device-ai+federated-learning+privacy-preserving,GDPR+CCPA+ePrivacy+DSA,4/5 structured consent,LCP<1.5s; CLS<0.05; INP<100ms
104,Climate Tech Dashboard,Data-Dense + Trust,Organic Biophilic + Data-Dense,Earth Green + Sky Blue + Alert Orange,Clear + Informative typography,Carbon tracking animations + Impact viz + Heatmap overlays,"{""must_have"": ""real-time-emissions"", ""must_have"": ""regulatory-compliance"", ""must_have"": ""impact-visualization""}",Greenwashing visuals + No real data + Static reports,HIGH,light+earth-dark,carbon-predict+optimization-ai+scenario-model,ESG+TCFD+SEC-climate+GDPR,5/5 data=ideal AI,LCP<2s; CLS<0.05; INP<100ms
105,DevOps / Platform Engineering,Real-Time + Documentation,Dark Mode (OLED) + Minimalism,Terminal Green (#10B981) + Dark bg + Alert Red,Monospace + Functional typography,Pipeline animations + Log streaming + Infrastructure viz,"{""must_have"": ""real-time-logs"", ""must_have"": ""pipeline-visualization"", ""must_have"": ""incident-management""}",Light mode default + Poor log UX + No alerting,HIGH,OLED-dark-default,ai-ops+incident-predict+auto-remediate,SOC2+ISO27001+GDPR,5/5 DevOps=prime AI ops,LCP<1s; CLS<0.01; INP<50ms
106,Digital Twin / Simulation,Immersive + Real-Time,3D & Hyperrealism + Dark Mode (OLED),Dark bg + Wireframe Blue + Sensor Green,Technical + Precise typography,3D model interaction + Sensor data overlay + Time-series,"{""must_have"": ""3d-model-viewer"", ""must_have"": ""sensor-data-overlay"", ""must_have"": ""time-travel-simulation""}",2D-only views + No real-time data + Static models,HIGH,OLED-dark-default,predictive-maintenance-ai+anomaly-detect+simulation,SOC2+GDPR+industry-specific,3/5 3D complex but data-rich,LCP<2.5s; CLS<0.1; INP<150ms
107,Personal Finance Aggregator,Data-Dense + Conversion,Glassmorphism + Trust & Authority,Trust Blue + Success Green + Alert Red,Clear + Professional typography,Account balance animations + Spending viz + Goal tracking,"{""must_have"": ""bank-grade-security"", ""must_have"": ""multi-account-view"", ""must_have"": ""budget-insights""}",Poor security UX + Confusing categorization + No insights,HIGH,dark-preferred+toggle,spending-predict+budget-ai+investment-suggest,PCI-DSS+PSD2+GDPR+open-banking,5/5 financial data=AI,LCP<1.5s; CLS<0.05; INP<50ms
108,Telemedicine / Remote Care,Feature-Rich + Trust,Accessible & Ethical + Soft UI Evolution,Medical Blue + Calm Green + Trust White,Professional + Readable typography (18px+),Video call integration + Vitals dashboard + Prescription flow,"{""must_have"": ""hipaa-compliant-video"", ""must_have"": ""e-prescription"", ""must_have"": ""patient-records""}",Poor video quality + No privacy indicators + Complex booking,HIGH,light+calm-dark,triage-ai+symptom-assess+remote-monitoring,HIPAA+SOC2+GDPR+FDA-SaMD,4/5 medical structured,LCP<2s; CLS<0.05; INP<100ms
109,Creator Monetization Tool,Feature-Rich + Conversion,Vibrant & Block-based + Bento Box Grid,Brand Purple (#8B5CF6) + Success Green + Gold,Modern + Bold typography,Revenue counter + Payout animations + Tier reveals,"{""must_have"": ""earnings-dashboard"", ""must_have"": ""payout-management"", ""must_have"": ""audience-analytics""}",Hidden earnings + Complex payout + No analytics,HIGH,light+vibrant-dark,content-optimize-ai+audience-predict+pricing-suggest,GDPR+CCPA+PCI-DSS+tax-regs,4/5 data+commerce struct,LCP<2s; CLS<0.05; INP<100ms
110,Regulatory / Compliance SaaS,Feature-Rich + Trust,Trust & Authority + Minimalism,Navy (#1E293B) + Compliance Green + Alert Amber,Professional + Clear typography,Compliance score animations + Audit trail viz + Risk matrix,"{""must_have"": ""audit-trail"", ""must_have"": ""risk-scoring"", ""must_have"": ""regulatory-updates""}",Outdated regulations + No audit history + Complex workflows,HIGH,light+trust-dark,regulation-track-ai+risk-assess+auto-compliance,SOC2+ISO27001+GDPR+industry-regs,5/5 structured compliance,LCP<1.5s; CLS<0.05; INP<100ms
