STT	Style Category	Type	Keywords	Primary Colors	Secondary Colors	Effects & Animation	Best For	Do Not Use For	Light Mode ✓	Dark Mode ✓	Performance	Accessibility	Mobile-Friendly	Conversion-Focused	Framework Compatibility	Era/Origin	Complexity	AI Compatibility	Agent-Ready
41	Cyberpunk UI	General	Neon, dark mode, terminal, HUD, sci-fi, glitch, dystopian, matrix, tech noir, threat visualization	Matrix Green #00FF00, Magenta #FF00FF, Cyan #00FFFF, Dark #0D0D0D	Neon gradients, scanline overlays, glitch colors, terminal green accents	Neon glow (text-shadow), glitch animations, scanlines (::before), terminal fonts, angular clip-path	Gaming, tech products, crypto, sci-fi, developer tools, cybersecurity, fraud detection	Corporate enterprise, healthcare, family apps, conservative brands, elderly	✗ No	✓ Only	⚠ Moderate	⚠ Limited (dark+neon)	◐ Medium	◐ Medium	Tailwind 8/10, Custom CSS 10/10	2020s Cyberpunk	Medium	High — cyberpunk aesthetic natural for security AI and threat detection	Yes — agents in security/monitoring contexts
42	Organic Biophilic	General	Nature, organic shapes, green, sustainable, rounded, flowing, wellness, earthy, natural textures, low-carbon	Forest Green #228B22, Earth Brown #8B4513, Sky Blue #87CEEB, Beige #F5F5DC	Natural gradients, earth tones, sky blues, organic textures, wood/stone colors	Rounded corners (16-24px), organic curves, natural shadows, flowing SVG shapes, gentle sway 4-6s	Wellness apps, sustainability brands, eco products, health, meditation, organic food, climate tech	Tech-focused products, gaming, industrial, urban brands	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	Tailwind 10/10, CSS 10/10	2020s Sustainable	Low	Medium — natural aesthetic for sustainability AI and wellness	Partial — works for eco-focused AI agents
43	AI-Native UI	General	Chatbot, conversational, voice, assistant, agentic, ambient, minimal chrome, streaming text, agent workflows	Neutral + AI Purple #6366F1, Success #10B981, Background #F5F5F5	Status indicators, streaming highlights, context card colors, confidence score colors	Typing indicators (3-dot pulse), streaming text, pulse animations, context cards, tool-use visualization	AI products, chatbots, voice assistants, copilots, AI-powered tools, agent orchestration, conversational	Traditional forms, data-heavy dashboards, print-first content	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	Tailwind 10/10, React 10/10	2020s AI-Era	Low	Essential — this IS the AI interface pattern; streaming, agents, confidence, citations	Yes — designed specifically for agent-first interactions
44	Memphis Design	General	80s, geometric, playful, postmodern, shapes, patterns, squiggles, triangles, neon, abstract, bold	Hot Pink #FF71CE, Yellow #FFCE5C, Teal #86CCCA, Blue Purple #6A7BB4	Complementary geometric colors, pattern fills, contrasting accent shapes	transform: rotate(), clip-path: polygon(), mix-blend-mode, repeating patterns, bold shapes	Creative agencies, music sites, youth brands, event promotion, artistic portfolios	Corporate finance, healthcare, legal, elderly users, conservative brands	✓ Full	✓ Full	⚡ Excellent	⚠ Check contrast	✓ Good	◐ Medium	Tailwind 9/10, CSS 10/10	1980s Postmodern	Medium	Low — decorative style with limited AI integration	No — too decorative for agent interfaces
45	Vaporwave	General	Synthwave, retro-futuristic, 80s-90s, neon, glitch, nostalgic, sunset gradient, dreamy, aesthetic	Pink #FF71CE, Cyan #01CDFE, Mint #05FFA1, Purple #B967FF	Sunset gradients, glitch overlays, VHS effects, neon accents, pastel variations	Text-shadow glow, linear-gradient, filter: hue-rotate(), glitch animations, retro scan lines	Music platforms, gaming, creative portfolios, tech startups, entertainment	Business apps, e-commerce, education, healthcare, enterprise software	✓ Full	✓ Dark focused	⚠ Moderate	⚠ Poor (motion heavy)	◐ Medium	◐ Medium	Tailwind 8/10, CSS-in-JS 9/10	1980s-90s Retro	Medium	Low — niche aesthetic with limited AI integration	No — too stylized for agents
46	Dimensional Layering	General	Depth, overlapping, z-index, layers, 3D, shadows, elevation, floating, cards, spatial hierarchy	Neutral base (#FFFFFF, #F5F5F5, #E0E0E0) + brand accent	Shadow variations (sm/md/lg/xl), elevation colors, highlight for top layers	Z-index stacking, box-shadow elevation (4 levels), transform: translateZ(), backdrop-filter, parallax	Dashboards, card layouts, modals, navigation, product showcases, SaaS, AI overlay panels	Print-style layouts, simple blogs, low-end devices, flat design requirements	✓ Full	✓ Full	⚠ Good	⚠ Moderate (SR issues)	✓ Good	✓ High	Tailwind 10/10, MUI 10/10, Chakra 10/10	2020s Modern	Medium	High — layered depth works for AI contextual overlays and floating panels	Yes — agents use layered panels for suggestions
47	Exaggerated Minimalism	General	Bold minimalism, oversized typography, high contrast, negative space, loud minimal, statement design	Black #000000, White #FFFFFF, single vibrant accent only	Minimal — single accent, no secondary, extreme restraint	font-size: clamp(3rem, 10vw, 12rem), font-weight: 900, letter-spacing: -0.05em, massive whitespace	Fashion, architecture, portfolios, agency landing pages, luxury brands, editorial	E-commerce catalogs, dashboards, forms, data-heavy, elderly users, complex apps	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	Tailwind 10/10, Typography.js 10/10	2020s Modern	Low	Medium — bold typography works for AI-generated headlines and statements	Partial — works for single-purpose agent landing pages
48	Kinetic Typography	General	Motion text, animated type, moving letters, dynamic, typing effect, morphing, scroll-triggered text	Flexible — high contrast recommended, bold colors for emphasis	Accent for emphasis, transition colors, gradient text fills	@keyframes text animation, typing effect, background-clip: text, GSAP ScrollTrigger, split text	Hero sections, marketing sites, video platforms, storytelling, creative portfolios	Long-form content, accessibility-critical, data interfaces, forms, elderly	✓ Full	✓ Full	⚠ Moderate	❌ Poor (motion heavy)	✓ Good	✓ Very High	GSAP 10/10, Framer Motion 10/10	2020s Modern	High	Medium — kinetic text works for AI streaming text effects	Partial — typing effects suit AI response visualization
49	Parallax Storytelling	General	Scroll-driven, narrative, layered scrolling, immersive, progressive disclosure, cinematic, scroll-timeline	Story-dependent, gradients and natural colors, section-specific palettes	Section transition colors, depth layer colors, narrative mood colors	transform: translateY(scroll), position: sticky, scroll-timeline API, scroll-triggered animations	Brand storytelling, product launches, case studies, portfolios, annual reports	E-commerce, dashboards, mobile-first, SEO-critical, accessibility-required	✓ Full	✓ Full	❌ Heavy	❌ Poor (motion)	✗ Low	✓ High	GSAP ScrollTrigger 10/10, Locomotive Scroll 10/10	2020s Modern	High	Low — heavy scroll effects conflict with AI content dynamism	No — too rigid for dynamic agent content
50	Swiss Modernism 2.0	General	Grid system, Helvetica, modular, asymmetric, international style, rational, clean, mathematical spacing	Black #000000, White #FFFFFF, #F5F5F5, single vibrant accent	Minimal secondary, accent for emphasis only, no gradients	display: grid, repeat(12, 1fr), gap: 1rem, mathematical ratios, clear hierarchy, fluid typography	Corporate sites, architecture, editorial, SaaS, museums, professional services, documentation	Playful brands, children's sites, entertainment, gaming, emotional storytelling	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	✓ High	Tailwind 10/10, Bootstrap 9/10, Foundation 10/10	1950s Swiss + 2020s	Low	Medium — structured grid works for AI-generated reports and data presentations	Yes — grid structure suits structured agent outputs
51	HUD / Sci-Fi FUI	General	Futuristic, technical, wireframe, neon, data, transparency, sci-fi, interface, telemetry, real-time	Neon Cyan #00FFFF, Holographic Blue #0080FF, Alert Red #FF0000	Transparent Black, Grid Lines #333333, status indicator colors	Glow effects, scanning animations, ticker text, blinking markers, fine line drawing, SVG markers	Sci-fi games, space tech, cybersecurity, drone fleet, immersive dashboards, autonomous systems	Standard corporate, reading heavy, accessible public services	✓ Low	✓ Full	⚠ Moderate (renders)	⚠ Poor (thin lines)	◐ Medium	✗ Low	React 9/10, Canvas 10/10, D3 10/10	2010s Sci-Fi + 2020s	High	High — HUD natural for AI monitoring, drone control, and autonomous system telemetry	Yes — agents in monitoring/control contexts
52	Pixel Art	General	Retro, 8-bit, 16-bit, gaming, blocky, nostalgic, pixelated, arcade, limited palette	Primary colors (NES Palette), brights, limited palette (16-32)	Black outlines, shading via dithering or block colors	Frame-by-frame sprite animation, blinking cursor, instant transitions, marquee text	Indie games, retro tools, creative portfolios, nostalgia marketing, NFT collections	Professional corporate, modern SaaS, high-res photography	✓ Full	✓ Full	⚡ Excellent	✓ Good (if contrast ok)	✓ High	◐ Medium	CSS (box-shadow) 8/10, Canvas 10/10	1980s Arcade	Medium	Low — niche aesthetic with limited AI integration	No — too stylized for agents
53	Spatial UI (VisionOS)	General	Glass, depth, immersion, spatial, translucent, gaze, gesture, apple, vision-pro, mixed reality, XR	Frosted Glass #FFFFFF (15-30% opacity), System White	Vibrant system colors for active states, deep shadows for depth	Parallax depth, dynamic lighting, gaze-hover effects, smooth scale on focus, hand tracking affordances	Spatial computing, VR/AR interfaces, immersive media, futuristic dashboards, mixed reality AI	Text-heavy documents, high-contrast requirements, non-3D capable devices	✓ Full	✓ Full	⚠ Moderate (blur cost)	⚠ Contrast risks	✓ High (adapted)	✓ High	SwiftUI 10/10, R3F 10/10	2024 Spatial Era	High	High — spatial UI is the future of AI interaction in mixed reality	Yes — spatial agents interact in 3D space
54	E-Ink / Paper	General	Paper-like, matte, high contrast, texture, reading, calm, slow tech, monochrome, low-energy	Off-White #FDFBF7, Paper White #F5F5F5, Ink Black #1A1A1A	Pencil Grey #4A4A4A, Highlighter Yellow #FFFF00 (accent only)	No motion blur, distinct page turns, grain/noise texture, sharp transitions, print-optimized	Reading apps, digital newspapers, journals, distraction-free writing, documentation, AI reports	Gaming, video platforms, high-energy marketing, dark mode dependent	✓ Full	✗ Low (inverted only)	⚡ Excellent	✓ WCAG AAA	✓ High	✓ Medium	Tailwind 10/10, CSS 10/10	2020s Digital Well-being	Low	Medium — clean reading for AI-generated long-form content and reports	Partial — works for document-focused AI agents
55	Gen Z Chaos / Maximalism	General	Chaos, clutter, stickers, raw, collage, mixed media, loud, internet culture, ironic, anti-design	Clashing Brights: #FF00FF, #00FF00, #FFFF00, #0000FF	Gradients, rainbow, glitch, noise, heavily saturated mix	Marquee scrolls, jitter, sticker layering, GIF overload, random placement, drag-and-drop	Gen Z lifestyle brands, music artists, creative portfolios, viral marketing, fashion	Corporate, government, healthcare, banking, serious tools, elderly	✓ Full	✓ Full	⚠ Poor (heavy assets)	❌ Poor	◐ Medium	✓ High (Viral)	CSS-in-JS 8/10, Custom 10/10	2023+ Internet Core	High	Low — chaotic aesthetic conflicts with structured AI output	No — too chaotic for agent interfaces
56	Biomimetic / Organic 2.0	General	Nature-inspired, cellular, fluid, breathing, generative, algorithms, life-like, neural, biological	Cellular Pink #FF9999, Chlorophyll Green #00FF41, Bioluminescent Blue	Deep Ocean #001E3C, Coral #FF7F50, Organic gradients	Breathing animations, fluid morphing, generative growth, physics-based movement	Sustainability tech, biotech, advanced health, meditation, generative art, neurotech	Standard SaaS, data grids, strict corporate, accounting	✓ Full	✓ Full	⚠ Moderate	✓ Good	✓ Good	✓ High	Canvas 10/10, WebGL 10/10	2024+ Generative	High	High — biological visualization for health AI, biotech, and neural interfaces	Yes — agents in biotech/health contexts
57	Holographic / Iridescent	General	Rainbow, prismatic, metallic sheen, light-reactive, 3D depth illusion, futuristic premium, chromatic	Prismatic spectrum, Silver base #C0C0C0, Gold base #FFD700	Rainbow gradient shifts, metallic overlays, chromatic aberration accents	conic-gradient with animated angle, hue-rotate 3-5s, brightness/contrast filters, metallic sheen	Space tech, quantum computing, spatial computing, luxury tech, premium AI products, futuristic	Budget projects, accessibility-critical, text-heavy, conservative industries	✓ Full	✓ Full	⚠ Moderate (GPU)	⚠ Shifting colors challenge contrast	◐ Medium	✓ High	Tailwind 9/10, CSS-in-JS 10/10	2024+ Futuristic	Medium	Medium — holographic effects for premium AI products and spatial interfaces	Partial — works for futuristic AI product showcases
58	Data-Dense General	General	Information-heavy, compact layouts, small multiples, sparklines, heat maps, KPI cards, power user, analyst	Neutral primary (#F5F5F5), data colors (blue/green/red/amber), dark text #333333	Chart colors: success #22C55E, warning #F59E0B, alert #EF4444, info #3B82F6	Hover tooltips, sortable tables, sparklines (inline SVG), virtual scrolling, skeleton loading	AI analytics, model monitoring, business intelligence, operational dashboards, data platforms	Consumer-facing, marketing, simple reporting, entertainment	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	◐ Medium	✗ Not applicable	Recharts 10/10, D3 10/10, AG Grid 10/10	2020s Modern	Medium	Very High — data-dense is THE pattern for AI model monitoring and analytics	Yes — agents need dense data views for analysis
59	Agentic Interface	General	Agent workflows, tool-use visualization, chain-of-thought, human-in-the-loop, multi-agent, orchestration	AI Purple #6366F1, Agent Blue #3B82F6, Success #10B981, Background #FAFAFA	Status: active (blue pulse), idle (grey), error (red), thinking (amber pulse), tool-use (purple)	Agent status indicators, workflow graph animations, token counter, thinking pulse, tool execution viz	AI agent platforms, orchestration dashboards, copilot interfaces, multi-agent systems, workflow builders	Traditional forms, static content, non-AI products	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	Tailwind 10/10, React 10/10, D3 9/10	2025+ Agent Era	Medium	Essential — purpose-built for AI agent orchestration and monitoring	Yes — this IS the agent interface pattern
60	Conversational UI	General	Chat interface, message bubbles, typing indicators, voice waveforms, conversation threads, context panels	Neutral background #F5F5F5, User bubble #3B82F6, AI bubble #F3F4F6, accent #6366F1	Typing indicator (grey dots), voice waveform (blue), error (red), success (green)	Typing indicator pulse, message slide-in (200ms), voice waveform animation, smooth scroll-to-bottom	Chatbots, AI assistants, customer support, conversational commerce, voice AI platforms	Data dashboards, e-commerce catalogs, documentation, portfolio sites	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	Tailwind 10/10, React 10/10	2020s AI-Era	Low	Essential — conversational UI is the primary AI interaction pattern	Yes — agents communicate through conversational interfaces
61	Privacy-First	General	Consent management, data transparency, anonymization indicators, compliance badges, trust signals, GDPR	Trust Green #22C55E, Ethical Blue #3B82F6, Clean White #FFFFFF	Compliance badge colors (gold/green), warning (amber), blocked (red), anonymized (grey)	Consent banner animations, privacy toggle transitions, data flow visualization, compliance badge hover	Privacy analytics, GDPR tools, consent platforms, data governance, sovereign cloud, compliance	Entertainment, gaming, social media, creative portfolios	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AAA	✓ High	✓ High	Tailwind 10/10, All frameworks 10/10	2024+ Privacy Era	Low	High — privacy-first design essential for responsible AI deployment	Yes — agents must respect and display privacy controls
62	Streaming Response	General	Token-by-token display, progressive rendering, thinking states, confidence indicators, source citations	Background #FAFAFA, Streaming text #1A1A1A, Citation #6366F1, Confidence gradient	Thinking amber #F59E0B, High confidence green, Low confidence red, Source link blue	Token append animation (30-50ms), thinking pulse, confidence bar fill, citation popover, skeleton loading	AI chat interfaces, code generation, content studios, search engines, AI writing tools	Static content, traditional forms, non-AI products	✓ Full	✓ Full	⚡ Excellent	✓ WCAG AA	✓ High	✓ High	React 10/10, Tailwind 10/10	2025+ AI-Era	Medium	Essential — streaming response IS the core AI output pattern	Yes — agents stream responses token-by-token
63	Dashboard Composition	General	Widget-based, drag-and-drop, customizable layout, resizable panels, saved views, role-based dashboards	Neutral base #F5F5F5, Widget borders #E5E7EB, Active widget #3B82F6	Widget type colors: chart (blue), table (grey), KPI (green), alert (red), AI insight (purple)	Widget drag animation, resize handles, snap-to-grid, smooth layout transitions, skeleton loading	Customizable dashboards, analytics platforms, admin panels, AI monitoring, enterprise tools	Simple landing pages, marketing sites, consumer apps	✓ Full	✓ Full	⚡ Good	✓ WCAG AA	◐ Medium	✗ Not applicable	React-Grid-Layout 10/10, Tailwind 10/10	2020s Modern	Medium	Very High — composable dashboards let users build custom AI monitoring views	Yes — agents can suggest and auto-compose dashboard layouts
